time;model_id;model_name;port_name;data
0;311;969906;;2493866, 0, 0, 0, 0.00
0;312;971795;;2498877, 0, 0, 0, 0.00
0;313;972921;;2501873, 0, 0, 0, 0.00
0;314;971036;;2496870, 0, 0, 0, 0.00
0;315;970287;;2494872, 0, 0, 0, 0.00
0;316;968040;;2488871, 0, 0, 0, 0.00
0;317;969150;;2491859, 0, 0, 0, 0.00
0;318;969158;;2491867, 0, 0, 0, 0.00
0;319;977091;;2512877, 0, 0, 0, 0.00
0;320;976706;;2511872, 0, 0, 0, 0.00
0;321;973284;;2502859, 0, 0, 0, 0.00
0;322;975573;;2508877, 0, 0, 0, 0.00
0;323;976310;;2510856, 0, 0, 0, 0.00
0;324;971409;;2497867, 0, 0, 0, 0.00
0;325;974817;;2506880, 0, 0, 0, 0.00
0;326;967664;;2487868, 0, 0, 0, 0.00
0;327;977845;;2514870, 0, 0, 0, 0.00
0;328;967295;;2486872, 0, 0, 0, 0.00
0;329;971772;;2498854, 0, 0, 0, 0.00
0;330;969900;;2493860, 0, 0, 0, 0.00
0;331;966923;;2485873, 0, 0, 0, 0.00
0;332;969899;;2493859, 0, 0, 0, 0.00
0;333;969907;;2493867, 0, 0, 0, 0.00
0;334;968414;;2489871, 0, 0, 0, 0.00
0;335;974065;;2504884, 0, 0, 0, 0.00
0;336;971032;;2496866, 0, 0, 0, 0.00
0;337;967668;;2487872, 0, 0, 0, 0.00
0;338;967669;;2487873, 0, 0, 0, 0.00
0;339;976312;;2510858, 0, 0, 0, 0.00
0;340;972923;;2501875, 0, 0, 0, 0.00
0;341;972918;;2501870, 0, 0, 0, 0.00
0;342;977854;;2514879, 0, 0, 0, 0.00
0;343;975185;;2507868, 0, 0, 0, 0.00
0;344;977479;;2513885, 0, 0, 0, 0.00
0;345;970664;;2495874, 0, 0, 0, 0.00
0;346;968786;;2490869, 0, 0, 0, 0.00
0;347;970644;;2495854, 0, 0, 0, 0.00
0;348;979386;;2518886, 0, 0, 0, 0.00
0;349;973685;;2503882, 0, 0, 0, 0.00
0;350;978236;;2515880, 0, 0, 0, 0.00
0;351;969916;;2493876, 0, 0, 0, 0.00
0;352;968788;;2490871, 0, 0, 0, 0.00
0;353;970288;;2494873, 0, 0, 0, 0.00
0;354;969166;;2491875, 0, 0, 0, 0.00
0;355;974819;;2506882, 0, 0, 0, 0.00
0;356;977469;;2513875, 0, 0, 0, 0.00
0;357;971021;;2496855, 0, 0, 0, 0.00
0;358;1338532;;
0;359;970286;;2494871, 0, 0, 0, 0.00
0;360;967670;;2487874, 0, 0, 0, 0.00
0;361;968033;;2488864, 0, 0, 0, 0.00
0;362;970655;;2495865, 0, 0, 0, 0.00
0;363;975940;;2509865, 0, 0, 0, 0.00
0;364;973680;;2503877, 0, 0, 0, 0.00
0;365;975178;;2507861, 0, 0, 0, 0.00
0;366;969155;;2491864, 0, 0, 0, 0.00
0;367;971780;;2498862, 0, 0, 0, 0.00
0;368;971400;;2497858, 0, 0, 0, 0.00
0;369;978224;;2515868, 0, 0, 0, 0.00
0;370;970280;;2494865, 0, 0, 0, 0.00
0;371;973659;;2503856, 0, 0, 0, 0.00
0;372;977858;;2514883, 0, 0, 0, 0.00
0;373;968780;;2490863, 0, 0, 0, 0.00
0;374;971773;;2498855, 0, 0, 0, 0.00
0;375;969159;;2491868, 0, 0, 0, 0.00
0;376;969163;;2491872, 0, 0, 0, 0.00
0;377;970666;;2495876, 0, 0, 0, 0.00
0;378;972540;;2500869, 0, 0, 0, 0.00
0;379;968035;;2488866, 0, 0, 0, 0.00
0;380;975192;;2507875, 0, 0, 0, 0.00
0;381;973295;;2502870, 0, 0, 0, 0.00
0;382;975943;;2509868, 0, 0, 0, 0.00
0;383;970647;;2495857, 0, 0, 0, 0.00
0;384;968042;;2488873, 0, 0, 0, 0.00
0;385;977475;;2513881, 0, 0, 0, 0.00
0;386;977095;;2512881, 0, 0, 0, 0.00
0;387;971794;;2498876, 0, 0, 0, 0.00
0;388;973289;;2502864, 0, 0, 0, 0.00
0;389;976331;;2510877, 0, 0, 0, 0.00
0;390;975184;;2507867, 0, 0, 0, 0.00
0;391;968034;;2488865, 0, 0, 0, 0.00
0;392;971414;;2497872, 0, 0, 0, 0.00
0;393;968783;;2490866, 0, 0, 0, 0.00
0;394;968785;;2490868, 0, 0, 0, 0.00
0;395;977083;;2512869, 0, 0, 0, 0.00
0;396;973282;;2502857, 0, 0, 0, 0.00
0;397;977478;;2513884, 0, 0, 0, 0.00
0;398;977474;;2513880, 0, 0, 0, 0.00
0;399;974807;;2506870, 0, 0, 0, 0.00
0;400;970276;;2494861, 0, 0, 0, 0.00
0;401;967296;;2486873, 0, 0, 0, 0.00
0;402;977455;;2513861, 0, 0, 0, 0.00
0;403;971399;;2497857, 0, 0, 0, 0.00
0;404;971398;;2497856, 0, 0, 0, 0.00
0;405;974437;;2505878, 0, 0, 0, 0.00
0;406;966924;;2485874, 0, 0, 0, 0.00
0;407;976316;;2510862, 0, 0, 0, 0.00
0;408;967671;;2487875, 0, 0, 0, 0.00
0;409;969913;;2493873, 0, 0, 0, 0.00
0;410;972534;;2500863, 0, 0, 0, 0.00
0;411;975938;;2509863, 0, 0, 0, 0.00
0;412;973666;;2503863, 0, 0, 0, 0.00
0;413;971030;;2496864, 0, 0, 0, 0.00
0;414;969905;;2493865, 0, 0, 0, 0.00
0;415;973660;;2503857, 0, 0, 0, 0.00
0;416;977855;;2514880, 0, 0, 0, 0.00
0;417;974042;;2504861, 0, 0, 0, 0.00
0;418;974801;;2506864, 0, 0, 0, 0.00
0;419;975181;;2507864, 0, 0, 0, 0.00
0;420;971408;;2497866, 0, 0, 0, 0.00
0;421;975201;;2507884, 0, 0, 0, 0.00
0;422;968043;;2488874, 0, 0, 0, 0.00
0;423;974430;;2505871, 0, 0, 0, 0.00
0;424;969902;;2493862, 0, 0, 0, 0.00
0;425;971026;;2496860, 0, 0, 0, 0.00
0;426;971397;;2497855, 0, 0, 0, 0.00
0;427;968044;;2488875, 0, 0, 0, 0.00
0;428;970289;;2494874, 0, 0, 0, 0.00
0;429;969908;;2493868, 0, 0, 0, 0.00
0;430;968405;;2489862, 0, 0, 0, 0.00
0;431;972908;;2501860, 0, 0, 0, 0.00
0;432;969164;;2491873, 0, 0, 0, 0.00
0;433;973298;;2502873, 0, 0, 0, 0.00
0;434;970643;;2495853, 0, 0, 0, 0.00
